Model,Mrp,Rating,Review,Specs,Brand,Model_name,Color,Price,Ratings,Reviews,RAM,ROM,Expandable Upto
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,INFINIX,HOT 20 Play,Luna Blue,8199.0,505.0,52.0,4.0,64.0,256 GB
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹7,999",4.1,"56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,e40,Carbon Gray,7999.0,56085.0,5600.0,4.0,64.0,1 TB
"POCO C31 (Shadow Gray, 64 GB)","₹7,499",4.3,"1,83,688 Ratings & 11,185 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,POCO,C31,Shadow Gray,7499.0,183688.0,11185.0,4.0,64.0,512 GB
"REDMI 9i Sport (Coral Green, 64 GB)","₹7,199",4.3,"2,09,377 Ratings & 12,027 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,REDMI,9i Sport,Coral Green,7199.0,209377.0,12027.0,4.0,64.0,512 GB
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999",4.3,"1,37,778 Ratings & 11,213 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy F23 5G,Aqua Blue,14999.0,137778.0,11213.0,6.0,128.0,1 TB
"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹11,999",4.3,"33,258 Ratings & 2,972 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,POCO,M4 Pro 5G,Cool Blue,11999.0,33258.0,2972.0,4.0,64.0,1 TB
"MOTOROLA e40 (Pink Clay, 64 GB)","₹7,999",4.1,"56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,e40,Pink Clay,7999.0,56085.0,5600.0,4.0,64.0,1 TB
"realme 9 5G (Stargaze White, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,REALME,9 5G,Stargaze White,16499.0,44415.0,2930.0,6.0,128.0,1 TB
"realme 9 5G (Supersonic Blue, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,REALME,9 5G,Supersonic Blue,14999.0,36109.0,2083.0,4.0,64.0,1 TB
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹14,999",4.1,"8,567 Ratings & 933 Reviews",6 GB RAM | 128 GB ROM,MOTOROLA,G62 5G,Midnight Gray,14999.0,8567.0,933.0,6.0,128.0,
